Date,Close
1/2/2018 16:00:00,12.77
1/3/2018 16:00:00,12.85
1/4/2018 16:00:00,12.83
1/5/2018 16:00:00,13.09
1/8/2018 16:00:00,13.32
1/9/2018 16:00:00,13.24
1/10/2018 16:00:00,13.15
1/11/2018 16:00:00,13.45
1/12/2018 16:00:00,13.53
1/16/2018 16:00:00,13.17
1/17/2018 16:00:00,13.35
1/18/2018 16:00:00,13.35
1/19/2018 16:00:00,13.36
1/22/2018 16:00:00,13.32
1/23/2018 16:00:00,12.7
1/24/2018 16:00:00,13.18
1/25/2018 16:00:00,12.95
1/26/2018 16:00:00,13.11
1/29/2018 16:00:00,13.05
1/30/2018 16:00:00,12.99
1/31/2018 16:00:00,13.09
2/1/2018 16:00:00,13.18
2/2/2018 16:00:00,12.54
2/5/2018 16:00:00,12.39
2/6/2018 16:00:00,13.06
2/7/2018 16:00:00,12.71
2/8/2018 16:00:00,12.36
2/9/2018 16:00:00,12.91
2/12/2018 16:00:00,13.07
2/13/2018 16:00:00,13.27
2/14/2018 16:00:00,14
2/15/2018 16:00:00,14.13
2/16/2018 16:00:00,14.12
2/20/2018 16:00:00,13.98
2/21/2018 16:00:00,13.66
2/22/2018 16:00:00,13.98
2/23/2018 16:00:00,14.2
2/26/2018 16:00:00,14.65
2/27/2018 16:00:00,14.49
2/28/2018 16:00:00,13.73
3/1/2018 16:00:00,13.58
3/2/2018 16:00:00,13.39
3/5/2018 16:00:00,13.42
3/6/2018 16:00:00,13.53
3/7/2018 16:00:00,13.14
3/8/2018 16:00:00,12.68
3/9/2018 16:00:00,12.89
3/12/2018 16:00:00,13
3/13/2018 16:00:00,12.9
3/14/2018 16:00:00,13.04
3/15/2018 16:00:00,12.85
3/16/2018 16:00:00,12.8
3/19/2018 16:00:00,12.47
3/20/2018 16:00:00,12.55
3/21/2018 16:00:00,12.99
3/22/2018 16:00:00,12.58
3/23/2018 16:00:00,12.51
3/26/2018 16:00:00,12.69
3/27/2018 16:00:00,12.23
3/28/2018 16:00:00,12.45
3/29/2018 16:00:00,12.72
4/2/2018 16:00:00,12.91
4/3/2018 16:00:00,12.78
4/4/2018 16:00:00,12.65
4/5/2018 16:00:00,12.95
4/6/2018 16:00:00,12.66
4/9/2018 16:00:00,12.5
4/10/2018 16:00:00,13.1
4/11/2018 16:00:00,13.14
4/12/2018 16:00:00,13.08
4/13/2018 16:00:00,13.12
4/16/2018 16:00:00,12.98
4/17/2018 16:00:00,13.44
4/18/2018 16:00:00,14.01
4/19/2018 16:00:00,14.12
4/20/2018 16:00:00,14
4/23/2018 16:00:00,13.74
4/24/2018 16:00:00,13.95
4/25/2018 16:00:00,13.68
4/26/2018 16:00:00,14
4/27/2018 16:00:00,13.95
4/30/2018 16:00:00,13.84
5/1/2018 16:00:00,13.54
5/2/2018 16:00:00,13.73
5/3/2018 16:00:00,13.89
5/4/2018 16:00:00,14.08
5/7/2018 16:00:00,13.85
5/8/2018 16:00:00,13.74
5/9/2018 16:00:00,13.93
5/10/2018 16:00:00,14.44
5/11/2018 16:00:00,14.61
5/14/2018 16:00:00,14.97
5/15/2018 16:00:00,14.91
5/16/2018 16:00:00,15.13
5/17/2018 16:00:00,15.03
5/18/2018 16:00:00,14.58
5/21/2018 16:00:00,14.41
5/22/2018 16:00:00,14.39
5/23/2018 16:00:00,14.34
5/24/2018 16:00:00,14.41
5/25/2018 16:00:00,14.03
5/29/2018 16:00:00,13.44
5/30/2018 16:00:00,13.54
5/31/2018 16:00:00,13.54
6/1/2018 16:00:00,14.03
6/4/2018 16:00:00,14.06
6/5/2018 16:00:00,14.16
6/6/2018 16:00:00,14.62
