Date,Close
1/2/2018 16:00:00,66.52
1/3/2018 16:00:00,67.39
1/4/2018 16:00:00,67.22
1/5/2018 16:00:00,67.86
1/8/2018 16:00:00,68.24
1/9/2018 16:00:00,67.78
1/10/2018 16:00:00,68.94
1/11/2018 16:00:00,70.18
1/12/2018 16:00:00,69.02
1/16/2018 16:00:00,68.95
1/17/2018 16:00:00,69.26
1/18/2018 16:00:00,68.82
1/19/2018 16:00:00,68.72
1/22/2018 16:00:00,68.99
1/23/2018 16:00:00,68.98
1/24/2018 16:00:00,69.01
1/25/2018 16:00:00,68.24
1/26/2018 16:00:00,69.54
1/29/2018 16:00:00,69.04
1/30/2018 16:00:00,66.82
1/31/2018 16:00:00,66.96
2/1/2018 16:00:00,66.38
2/2/2018 16:00:00,64.24
2/5/2018 16:00:00,62.54
2/6/2018 16:00:00,63.6
2/7/2018 16:00:00,62.92
2/8/2018 16:00:00,60.38
2/9/2018 16:00:00,61.77
2/12/2018 16:00:00,63.44
2/13/2018 16:00:00,64.08
2/14/2018 16:00:00,65.19
2/15/2018 16:00:00,65.58
2/16/2018 16:00:00,68.54
2/20/2018 16:00:00,67.56
2/21/2018 16:00:00,66.85
2/22/2018 16:00:00,66.95
2/23/2018 16:00:00,66.94
2/26/2018 16:00:00,67.88
2/27/2018 16:00:00,67.29
2/28/2018 16:00:00,65.4
3/1/2018 16:00:00,67.53
3/2/2018 16:00:00,67.88
3/5/2018 16:00:00,67.86
3/6/2018 16:00:00,67.78
3/7/2018 16:00:00,69.48
3/8/2018 16:00:00,67.63
3/9/2018 16:00:00,67.16
3/12/2018 16:00:00,67.69
3/13/2018 16:00:00,67.53
3/14/2018 16:00:00,66
3/15/2018 16:00:00,66.18
3/16/2018 16:00:00,66.59
3/19/2018 16:00:00,65.33
3/20/2018 16:00:00,64.2
3/21/2018 16:00:00,65.35
3/22/2018 16:00:00,61.09
3/23/2018 16:00:00,59.44
3/26/2018 16:00:00,60.6
3/27/2018 16:00:00,60.23
3/28/2018 16:00:00,59.32
3/29/2018 16:00:00,61.09
4/2/2018 16:00:00,59.85
4/3/2018 16:00:00,60.79
4/4/2018 16:00:00,61.13
4/5/2018 16:00:00,63.1
4/6/2018 16:00:00,60.69
4/9/2018 16:00:00,60.54
4/10/2018 16:00:00,62.16
4/11/2018 16:00:00,60.98
4/12/2018 16:00:00,61.92
4/13/2018 16:00:00,61.63
4/16/2018 16:00:00,62.46
4/17/2018 16:00:00,64.13
4/18/2018 16:00:00,65.42
4/19/2018 16:00:00,65.13
4/20/2018 16:00:00,63.55
4/23/2018 16:00:00,62.88
4/24/2018 16:00:00,62.26
4/25/2018 16:00:00,63.18
4/26/2018 16:00:00,63.14
4/27/2018 16:00:00,62.03
4/30/2018 16:00:00,61.62
5/1/2018 16:00:00,60.36
5/2/2018 16:00:00,60.99
5/3/2018 16:00:00,61.22
5/4/2018 16:00:00,62.94
5/7/2018 16:00:00,62.84
5/8/2018 16:00:00,62.62
5/9/2018 16:00:00,62.71
5/10/2018 16:00:00,63.85
5/11/2018 16:00:00,63.12
5/14/2018 16:00:00,62.76
5/15/2018 16:00:00,63
5/16/2018 16:00:00,64.98
5/17/2018 16:00:00,65.76
5/18/2018 16:00:00,65.54
5/21/2018 16:00:00,65.18
5/22/2018 16:00:00,65.05
5/23/2018 16:00:00,64.22
5/24/2018 16:00:00,64.61
5/25/2018 16:00:00,63.97
5/29/2018 16:00:00,62.72
5/30/2018 16:00:00,64.1
5/31/2018 16:00:00,64.19
6/1/2018 16:00:00,65.8
6/4/2018 16:00:00,65.63
6/5/2018 16:00:00,66.28
6/6/2018 16:00:00,67.27
6/7/2018 16:00:00,66.41
6/8/2018 16:00:00,66.85
6/11/2018 16:00:00,67.08
6/12/2018 16:00:00,67.07
6/13/2018 16:00:00,66.77
6/14/2018 16:00:00,68.53
6/15/2018 16:00:00,66.85
6/18/2018 16:00:00,66.75
6/19/2018 16:00:00,65.47
6/20/2018 16:00:00,65.88
6/21/2018 16:00:00,64.87
6/22/2018 16:00:00,66.2
6/25/2018 16:00:00,63.46
6/26/2018 16:00:00,64.12
6/27/2018 16:00:00,62.99
6/28/2018 16:00:00,62.7
6/29/2018 16:00:00,62.5
7/2/2018 16:00:00,62.85
7/3/2018 13:00:00,61.68
7/5/2018 16:00:00,63
7/6/2018 16:00:00,63.34
7/9/2018 16:00:00,64.17
7/10/2018 16:00:00,64.73
7/11/2018 16:00:00,63.92
7/12/2018 16:00:00,63.87
7/13/2018 16:00:00,64.12
7/16/2018 16:00:00,64.01
7/17/2018 16:00:00,64.62
7/18/2018 16:00:00,65.61
7/19/2018 16:00:00,64.67
7/20/2018 16:00:00,66.25
7/23/2018 16:00:00,66.72
7/24/2018 16:00:00,67.82
7/25/2018 16:00:00,67.98
7/26/2018 16:00:00,67.56
7/27/2018 16:00:00,67.61
7/30/2018 16:00:00,67.21
7/31/2018 16:00:00,66.93
8/1/2018 16:00:00,65.69
8/2/2018 16:00:00,64.54
8/3/2018 16:00:00,64.47
8/6/2018 16:00:00,64.01
8/7/2018 16:00:00,64.54
8/8/2018 16:00:00,64.44
8/9/2018 16:00:00,63.41
8/10/2018 16:00:00,63.45
8/13/2018 16:00:00,63.16
8/14/2018 16:00:00,63.56
8/15/2018 16:00:00,61.11
8/16/2018 16:00:00,61.76
8/17/2018 16:00:00,62.38
8/20/2018 16:00:00,62.55
8/21/2018 16:00:00,63.8
8/22/2018 16:00:00,63.79
8/23/2018 16:00:00,62.02
8/24/2018 16:00:00,62.52
8/27/2018 16:00:00,63.71
8/28/2018 16:00:00,63.83
8/29/2018 16:00:00,64.09
8/30/2018 16:00:00,62.79
8/31/2018 16:00:00,62.5
9/4/2018 16:00:00,62.21
9/5/2018 16:00:00,63.63
9/6/2018 16:00:00,63.31
9/7/2018 16:00:00,63.24
9/10/2018 16:00:00,62.44
9/11/2018 16:00:00,62.7
9/12/2018 16:00:00,63.56
9/13/2018 16:00:00,63.5
9/14/2018 16:00:00,62.58
9/17/2018 16:00:00,63.05
9/18/2018 16:00:00,64.27
9/19/2018 16:00:00,64.84
9/20/2018 16:00:00,64.41
9/21/2018 16:00:00,64.38
9/24/2018 16:00:00,63.69
9/25/2018 16:00:00,64.66
9/26/2018 16:00:00,63.29
9/27/2018 16:00:00,63.07
9/28/2018 16:00:00,63.45
10/1/2018 16:00:00,64.3
10/2/2018 16:00:00,65.3
10/3/2018 16:00:00,65.39
10/4/2018 16:00:00,65
10/5/2018 16:00:00,64.29
10/8/2018 16:00:00,64.72
10/9/2018 16:00:00,63.7
10/10/2018 16:00:00,61.04
10/11/2018 16:00:00,60.46
10/12/2018 16:00:00,60.81
10/15/2018 16:00:00,58.77
10/16/2018 16:00:00,58.95
10/17/2018 16:00:00,59.09
10/18/2018 16:00:00,58.3
10/19/2018 16:00:00,58.39
10/22/2018 16:00:00,59.18
10/23/2018 16:00:00,58.62
10/24/2018 16:00:00,55.66
10/25/2018 16:00:00,57.72
10/26/2018 16:00:00,56.13
10/29/2018 16:00:00,56.85
10/30/2018 16:00:00,57.91
10/31/2018 16:00:00,59.12
11/1/2018 16:00:00,60.01
11/2/2018 16:00:00,60.52
11/5/2018 16:00:00,61.36
11/6/2018 16:00:00,62.43
11/7/2018 16:00:00,64.21
11/8/2018 16:00:00,64.12
11/9/2018 16:00:00,62.78
11/12/2018 16:00:00,62.16
11/13/2018 16:00:00,63.08
11/14/2018 16:00:00,62.1
11/15/2018 16:00:00,62.85
11/16/2018 16:00:00,63.23
11/19/2018 16:00:00,62.14
11/20/2018 16:00:00,60.18
11/21/2018 16:00:00,60.66
11/23/2018 13:00:00,59.42
11/26/2018 16:00:00,59.4
11/27/2018 16:00:00,58.28
11/28/2018 16:00:00,59.65
11/29/2018 16:00:00,59.98
11/30/2018 16:00:00,60.41
12/3/2018 16:00:00,61.19
12/4/2018 16:00:00,59.66
12/6/2018 16:00:00,59.18
12/7/2018 16:00:00,57.51
12/10/2018 16:00:00,56.98
12/11/2018 16:00:00,56.46
12/12/2018 16:00:00,56.3
12/13/2018 16:00:00,55.7
12/14/2018 16:00:00,56.39
12/17/2018 16:00:00,54.82
12/18/2018 16:00:00,54.97
12/19/2018 16:00:00,53.62
12/20/2018 16:00:00,52.26
12/21/2018 16:00:00,51.93
12/24/2018 13:00:00,50.03
12/26/2018 16:00:00,52.31
12/27/2018 16:00:00,52.46
12/28/2018 16:00:00,51.9
12/31/2018 16:00:00,51.81
1/2/2019 16:00:00,52.21
1/3/2019 16:00:00,51.3
1/4/2019 16:00:00,53.83
1/7/2019 16:00:00,53.42
1/8/2019 16:00:00,55.26
1/9/2019 16:00:00,55.92
1/10/2019 16:00:00,56.49
1/11/2019 16:00:00,56.59
1/14/2019 16:00:00,56.26
1/15/2019 16:00:00,55.88
1/16/2019 16:00:00,56.87
1/17/2019 16:00:00,57.74
1/18/2019 16:00:00,58.73
1/22/2019 16:00:00,57.7
1/23/2019 16:00:00,57.28
1/24/2019 16:00:00,56.87
1/25/2019 16:00:00,58.1
1/28/2019 16:00:00,58.5
1/29/2019 16:00:00,60.13
1/30/2019 16:00:00,60.34
1/31/2019 16:00:00,61.24
2/1/2019 16:00:00,61.48
2/4/2019 16:00:00,62.1
2/5/2019 16:00:00,61.38
2/6/2019 16:00:00,60.44
2/7/2019 16:00:00,59.34
2/8/2019 16:00:00,59.82
2/11/2019 16:00:00,59.9
2/12/2019 16:00:00,61.58
2/13/2019 16:00:00,61.25
2/14/2019 16:00:00,59.73
2/15/2019 16:00:00,59.5
2/19/2019 16:00:00,59.89
2/20/2019 16:00:00,61.48
2/21/2019 16:00:00,61.06
